E D E B C F Q J F B A 0 E D dr
B B C A B B B F F B A 0 C C dr
B C C A B B B K F B A 0 C C dr
A A C A A A C F F B A 0 C C dr
B C C C C B N J F B A 0 C C dr
C C D A B C C J T A A 0 C C dr
A A C A A A C J F A A 0 B C dr
D B E A B B N J T B A 0 C C dr
A B C A A A C A F B A 0 B C dr
D C E B B B J C T C B 0 C D dr
B B C A A B J J F C B 0 C D dr
A B C A A A F N F C B 0 B C dr
A A C A A A N N F C B 0 B C dr
A A C A A A J J F C B 0 B C dr
A A C A A A J J F C B 0 B C dr
C B E A A B H B T B B 0 B C dr
A A C A A A M J F B B 0 B C dr
B B C A A A F I F B B 0 B C dr
A A C A A A I J F B B 0 B C dr
A A C A A A E J F B B 0 B C dr
A A C A A A K J F B B 0 B C dr
A A C A A A F H F B B 0 B C dr
A A C A A A L I F B B 0 B C dr
B B C A A B H C F B B 0 B C dr
B B C B B B J L F B B 0 B C dr
D D C D D D N J F B B 0 B C dr
