F E E D D E J M F E 0 NA E D dr
B B C B B B J N F E 0 NA C D dr
B B C A A B J F F E 0 NA C C dr
C C D B B C C E F E 0 NA C C dr
C C C B C D J M T E A 0 C C dr
C C C B B B L J F E A 0 C C dr
B B C A A B C M T A A A C C dr
B B C A A B O D F A A A C C dr
B B C B B B M J F A A A C C dr
B B C B B B G I F A A A C C dr
B B C A B B L J F A A A C C dr
C B E A A B G B F A A A C C dr
A B C A A A I G F A A A C C dr
B B C A A B G G F A A A C C dr
E D E C C E J I F A A B C C dr
B B C A B B J L F A A B C C dr
B B C B B B G L F A A B C C dr
C C C B C C C G F A A B C C dr
D D D C C D G I T A A B C C dr
F F D E E F Q P F B A B C C dr
