C D C C C C H C T A A A C B dr
D C E B B C J I F A A A C D dr
A A C A A A D M F A A A B C dr
A A C A A A N O F A A A B B dr
A A C A A A I M F A A A A B dr
A A C A A A K K F A A A A B dr
E B E A A B G D F A A A B D dr
A A C A A A K P F A A A A C dr
A A B A A A C H F A A A A C dr
A A C A A A L I F A A A A C dr
B B E A A B C G F A A A A C dr
A A C A A A K M F A A A A C dr
A A C A A A L L F A A A A C dr
B B E A A B O F F A A A A C dr
A A C A A A B C F A A A A C dr
B B E A A B A C F A A A A C dr
A A C A A A P L F A A A A C dr
A A C A A A K K F A A A A C dr
A A C A A A J I F A A A A C dr
B B C A A B M G F A A A A C dr
B B C A A B C J F A A A A C dr
C B E A A B G J T B A A A C dr
D B E A A B J B T B B A A C dr
A A C A A A C F F B B A A C dr
B B D A A B G F F B B A A C dr
A A C A A A J C F B B A A C dr
B B D A A B J C F B B A A C dr
C B D B B B N F F B B A A C dr
