C C E C C C O J T B 0 NA C D dr
B B D B B B J J F B 0 NA C D dr
C B E A B B C F F B 0 NA C D dr
A B C A A A K K F B 0 NA C D dr
B B D A A B J C F B 0 NA C D dr
A A C A A A L O F B 0 NA B C dr
B B E A A A K J F B 0 NA B D dr
A A C A A A J O F B 0 NA B C dr
B B C A A B P L F B 0 NA B C dr
B B C A A B J P F B 0 NA B C dr
A A C A A A J P F B 0 NA B C dr
A A C A A A L N F B 0 NA B C dr
A A C A A A L L F B 0 NA B C dr
A A C A A A K K F B 0 NA B B dr
A A C A A A P C F B 0 NA B C dr
C B E B B B J J T B 0 NA B C dr
B B C A A B J F F B 0 NA B C dr
C B E A A B L J F B 0 NA B C dr
B B C A A B J C F B 0 NA B C dr
