B A E A A A E L F XXX NA NA B D dr
C B E A A B B B T D 0 NA C D dr
A A C A A A G I F D 0 NA B D dr
A A C A A A K I F D 0 NA A D dr
A A C A A A K K F D 0 NA A D dr
A A C A A A J K F D 0 NA A D dr
A A C A A A J G F D 0 NA A D dr
A A C A A A J E F D 0 NA A D dr
A A C A A A N I F D 0 NA A D dr
C C E B B B N J F D 0 NA A D dr
A A D A A A J K F D 0 NA A D dr
A A C A A A N M F D 0 NA A D dr
E B E A A A N J F E 0 NA A D dr
A A C A A A I M F E 0 NA A D dr
A A C A A A K M F E 0 NA A D dr
A A C A A A I K F E 0 NA A D dr
A A C A A A L N F E 0 NA A D dr
D A E A A A J E T E 0 NA A D dr
A A C A A A K K F E 0 NA A D dr
D C E B B B L E F E 0 NA A D dr
