F E D D E E R R F E 0 NA E D dr
C C C C C C P L F E 0 NA C C dr
C C C B C C J XXX F E 0 NA C C dr
B B B A B B L P F E 0 NA C B dr
A B B A A A N P F E 0 NA C B dr
A A A A A A O R F E 0 NA B A dr
A A A A A A N P F E 0 NA B A dr
A A A A A A R N F E 0 NA B A dr
A B B A A A P P F E 0 NA B A dr
A B B A A A J N F E 0 NA B A dr
B B B A A B R J F E 0 NA B A dr
B B B B B B P N F E 0 NA B A dr
A B B A A A K XXX F E 0 NA B A dr
A A A A A A G R F E 0 NA A A dr
A A A A A A J O F E 0 NA A A dr
A A A A A A N R F E 0 NA A A dr
A A A A A A M L F E 0 NA A A dr
A A A A A A I F F E 0 NA A A dr
A A A A A A R L F E 0 NA A A dr
A B B A A A L J F E 0 NA A A dr
A A A A A A D M F E 0 NA A A dr
A A A A A A P N F E 0 NA A A dr
A A A A A A O XXX F E 0 NA A A dr
A A A A A A R J F E 0 NA A A dr
B B B A B B P E F E 0 NA A A dr
C D C C D C M K F E 0 NA A A dr
B B B A B B C M F E 0 NA A A dr
A B B A A A P P F E 0 NA A A dr
A B B A A A G R F E 0 NA A A dr
A B B A A A R B F E 0 NA A A dr
A B B A A A I N F E 0 NA A A dr
A B B A A A J O F E 0 NA A A dr
A B B A A A D L F E 0 NA A A dr
A B B A A A O M F E 0 NA A A dr
A B B A A A R J F E 0 NA A A dr
A B B A A A I K F E 0 NA A A dr
A B B A A A K M F E 0 NA A A dr
A B B A A A K L F E 0 NA A A dr
B B C A B B R G F E 0 NA A A dr
C C C B B B F J F E 0 NA A A dr
A B B A A A H P F E 0 NA A A dr
A B B A A A L L F E 0 NA A A dr
B B B B B B O L F E 0 NA A A dr
B B B A B B R F F E 0 NA A A dr
D C D C C C N O F E 0 NA A A dr
A A A A A A H XXX F E 0 NA A A dr
A A A A A A J XXX F E 0 NA A A dr
A A A A A A C R F E 0 NA A A dr
A A A A A A C O F E 0 NA A A dr
A A A A A A E XXX F E 0 NA A A dr
A A A A A A P R F E 0 NA A A dr
A A A A A A M H F E 0 NA A A dr
A A A A A A Q J F E 0 NA A A dr
A A A A A A N N F E 0 NA A A dr
A A A A A A K E F E 0 NA A A dr
A A A A A A P N F E 0 NA A A dr
A A A A A A I K F E 0 NA A A dr
A A A A A A N P F E 0 NA A A dr
A A A A A A N L F E 0 NA A A dr
A A A A A A P R F E 0 NA A A dr
A A A A A A L L F E 0 NA A A dr
A A A A A A I I F E 0 NA A A dr
A A A A A A Q XXX F E 0 NA A A dr
A A A A A A L R F E 0 NA A A dr
A A A A A A P P F E 0 NA A A dr
A A A A A A O P F E 0 NA A A dr
A A A A A A M C F E 0 NA A A dr
A A A A A A H I F E 0 NA A A dr
A A A A A A I P F E 0 NA A A dr
A A A A A A M M F E 0 NA A A dr
A A A A A A M R F E 0 NA A A dr
A A A A A A L P F E 0 NA A A dr
A A A A A A P I F E 0 NA A A dr
A A A A A A J G F E 0 NA A A dr
A A A A A A R O F E 0 NA A A dr
A A A A A A M J F E 0 NA A A dr
A A A A A A O XXX F E 0 NA A A dr
A A A A A A N N F E 0 NA A A dr
A A A A A A M M F E 0 NA A A dr
A A A A A A L Q F E 0 NA A A dr
A A A A A A L Q F E 0 NA A A dr
A A A A A A N P F E 0 NA A A dr
A A A A A A H Q F E 0 NA A A dr
A A A A A A P O F E 0 NA A A dr
A A A A A A P E F E 0 NA A A dr
A A A A A A P L F E 0 NA A A dr
A A A A A A I J F E 0 NA A A dr
A A A A A A P P F E 0 NA A A dr
A A A A A A R P F E 0 NA A A dr
A A A A A A M M F E 0 NA A A dr
A A A A A A M P F E 0 NA A A dr
A A A A A A O I F E 0 NA A A dr
A A A A A A M P F E 0 NA A A dr
A A A A A A O XXX F E 0 NA A A dr
A A A A A A G R F E 0 NA A A dr
A A A A A A J J F E 0 NA A A dr
A A A A A A G M F E 0 NA A A dr
A A A A A A M J F E 0 NA A A dr
A A A A A A P D F E 0 NA A A dr
A A A A A A I B F E 0 NA A A dr
A A A A A A M P F E 0 NA A A dr
