F E D C E F L R F XXX NA NA E D dr
C C C C C C R P F XXX NA NA C C dr
B C C B B B R N F XXX NA NA C B dr
B B B A B B M XXX F XXX NA NA C B dr
A B B A A A O XXX F XXX NA NA C B dr
B C C A B C P K F XXX NA NA C B dr
A B B A A A O Q F XXX NA NA B B dr
A B B A A A R M F XXX NA NA B A dr
B C C B B C N XXX F XXX NA NA B A dr
A A A A A A Q R F XXX NA NA B A dr
A A A A A A R R F XXX NA NA B A dr
A A A A A A R P F XXX NA NA B A dr
A B B A A A R O F XXX NA NA B A dr
E D E C D D P P F D 0 NA B A dr
A B B A A A P Q F D 0 NA B A dr
A B B A A A O XXX F D 0 NA B A dr
A B B A A A Q N F D 0 NA B A dr
B B B A B B R N F D 0 NA B A dr
B B B A A B P XXX F D 0 NA B A dr
A B B A A A R Q F D 0 NA B A dr
D D D C D D R O F D 0 NA B A dr
A B B A A A M XXX F D 0 NA B A dr
A B B A A A R O F D 0 NA B A dr
C C C B C C L XXX F D 0 NA B A dr
A B B A A B N XXX F D 0 NA B A dr
A B B A A A R R F D 0 NA B A dr
B B B B B B Q Q F D 0 NA B A dr
A B B A A A P R F D 0 NA B A dr
B C C B B B Q O F D 0 NA B A dr
B C C B B B N XXX F D 0 NA B A dr
A B B A A A R P F D 0 NA B A dr
B B B A B B R P F D 0 NA B A dr
C C C B C B P R F D 0 NA B A dr
C C B C C C R P F D 0 NA B A dr
