F F D E E F R R F B 0 NA E C dr
B C C C C B N R F B 0 NA C B dr
B C C C C B R N F B 0 NA C B dr
B C C B C B M XXX F B 0 NA C B dr
C C C C C C R M F B 0 NA C B dr
D D C D D D Q O F B 0 NA C B dr
C D C D D C P Q F B 0 NA C B dr
B C C B B B G J F B 0 NA C B dr
A B B A A A O R F B 0 NA C B dr
A B B A A A K J F B 0 NA C B dr
A B B A A A J J F B 0 NA C B dr
A B B A A A F J F B 0 NA C B dr
A B B A A A N N F B 0 NA B B dr
B B B A B B L C F B 0 NA B B dr
D E C C E E C R F B 0 NA C B dr
B B B A A B G A F B 0 NA B B dr
F C E C C C R E F B 0 NA C B dr
B B C A B B P G F B 0 NA C B dr
A B B A A A J G F B 0 NA B B dr
C C C B C C Q G F B 0 NA C B dr
B C C B C B M M F B 0 NA C B dr
E D E C D D R H F B 0 NA C B dr
B B C A B B E F F B 0 NA C B dr
B B B B B B M P F B 0 NA C B dr
B B B B B B P J F B 0 NA C B dr
B B B A B B M P F B 0 NA C B dr
A B B A A A E R F B 0 NA B B dr
A A A A A A R M F B 0 NA B B dr
B B B A B B J XXX F B 0 NA B B dr
B B B B B B R P F B 0 NA B B dr
C C C B C C N Q F B 0 NA B B dr
B B B A B B N N F B 0 NA B B dr
B B B A A A R J F B 0 NA B B dr
B C C B B B R F F B 0 NA B B dr
D D D C D D M XXX F B 0 NA B B dr
B B B A B B N R F B 0 NA B B dr
A B B A A A J K F B 0 NA B B dr
A B B A A A J G F B 0 NA B B dr
A A A A A A K G F B 0 NA B B dr
A A A A A A C F F B 0 NA B A dr
A A A A A A F K F B 0 NA B A dr
A A A A A A O P F B 0 NA B A dr
A A A A A A K P F B 0 NA B A dr
A A A A A A N N F B 0 NA B A dr
A A A A A A R N F B 0 NA B A dr
B B C A B B R C F B 0 NA B A dr
B C C B B B N XXX F B 0 NA B A dr
B B B B B B P P F B 0 NA B A dr
B B B B B B K G F B 0 NA B A dr
F C E B C C D N F C 0 NA B A dr
B B B A B B H XXX F C 0 NA B A dr
A A A A A A I O F C 0 NA B A dr
A A A A A A N R F C 0 NA B A dr
A A A A A A O I F C 0 NA B A dr
A A A A A A M O F C 0 NA B A dr
A A A A A A K G F C 0 NA B A dr
A A A A A A O P F C 0 NA B A dr
A A A A A A I C F C 0 NA B A dr
A A A A A A M R F C 0 NA B A dr
A A A A A A R P F C 0 NA B A dr
A A A A A A K K F C 0 NA B A dr
A B B A A A R E F C 0 NA B A dr
B B B B B B K M F C 0 NA B A dr
B B B A B B K R F C 0 NA B A dr
A A A A A A N R F C 0 NA B A dr
A A A A A A K R F C 0 NA B A dr
A A A A A A J Q F C 0 NA B A dr
A A A A A A R P F C 0 NA B A dr
A A A A A A H F F C 0 NA B A dr
A A A A A A M N F C 0 NA B A dr
A A A A A A D K F C 0 NA B A dr
A A A A A A N O F C 0 NA B A dr
A A A A A A M M F C 0 NA B A dr
A A A A A A K K F C 0 NA B A dr
A A A A A A R M F C 0 NA A A dr
B B B B B B M D F C 0 NA B A dr
A B B A A A I XXX F C 0 NA B A dr
A A A A A A L N F C 0 NA A A dr
A A A A A A Q P F C 0 NA A A dr
A B B A A A R N F C 0 NA A A dr
B B B B B B R K F C 0 NA A A dr
C C C B B B J XXX F C 0 NA A A dr
B B B B B B R O F C 0 NA B A dr
D C E C C C R J F C 0 NA B A dr
B B B B B B P M F C 0 NA B A dr
B B B B B B P P F C 0 NA B A dr
C C C B C C R M F C 0 NA B A dr
B B B B B B N XXX F C 0 NA B A dr
B C C C C B O O F C 0 NA B A dr
B C C B B B Q J F C 0 NA B A dr
