C D C C D D M R F XXX NA NA C B dr
B B B B B B D M F XXX NA NA C A dr
B B B A A A C K F XXX NA NA B A dr
A B B A A A R N F XXX NA NA B A dr
A B B A A A N N F XXX NA NA B A dr
A B B A A A F N F XXX NA NA B A dr
A B B A A A N C F XXX NA NA B A dr
B C C B C B P J F XXX NA NA B A dr
B C C B C B R L F XXX NA NA B A dr
B B C B B B N XXX F XXX NA NA B A dr
A B B A A A O O F XXX NA NA B A dr
B B B B B B R R F XXX NA NA B A dr
D C E B C C R C F XXX NA NA B A dr
B B B B B B J XXX F XXX NA NA B A dr
A B B A A A O R F XXX NA NA B A dr
A B B A A A O J F XXX NA NA B A dr
B B B B B B R O F XXX NA NA B A dr
B C C C C B P P F XXX NA NA B A dr
C C C C C C R M F XXX NA NA B A dr
B B B B B B L L F XXX NA NA B A dr
B B B B B B L M F XXX NA NA B A dr
A B B A A A R R F XXX NA NA B A dr
A B B A A A M XXX F XXX NA NA B A dr
A B B A A A R P F XXX NA NA B A dr
D C E B C C R K F XXX NA NA B A dr
B B C B B B J XXX F XXX NA NA B A dr
A B B A A A L R F XXX NA NA B A dr
A A A A A A P P F XXX NA NA B A dr
A A A A A A O O F XXX NA NA B A dr
A B B A A A R P F XXX NA NA B A dr
A B B A A A R P F XXX NA NA B A dr
A B B A A A R J F XXX NA NA B A dr
C C C C C C R L F XXX NA NA B A dr
