D E C D D D H O T XXX NA NA C B dr
B B C B B B G R F XXX NA NA C B dr
A B B A A A J N F XXX NA NA B A dr
B B B A A A O F F XXX NA NA B A dr
C C C C C C N N F XXX NA NA B A dr
B B B B B B M O F XXX NA NA B A dr
C C C B C B R M F XXX NA NA B B dr
D C E A B C C G T A A 0 C B dr
B B B A B B N R F A A 0 C B dr
A A A A A A K N F A A 0 B B dr
A A A A A A N N F A A 0 B A dr
A A A A A A N N F A A 0 B A dr
A B B A A A R B F A A 0 B A dr
C C C B C C R H F A A 0 B A dr
B B B B B B J N F A A 0 B A dr
B B B A A B N F F A A 0 B A dr
B B B A A B J N F A A 0 B A dr
A B B A A A O R F A A 0 B A dr
A B B A A A N R F A A 0 B A dr
B B B A B B R J F A A 0 B A dr
B C C C C B O N F A A 0 B A dr
B B B B B B M P F A A 0 B A dr
C C D B C C R J F A A 0 B A dr
B B B B B B M XXX F A A 0 B A dr
A B B A A A O P F A A 0 B A dr
A B B A A A R P F A A 0 B A dr
B B B B B B R J F A A 0 B A dr
C C D B B B M XXX F A A 0 B A dr
A B B A A A L R F A A 0 B A dr
A A A A A A O O F A A 0 B A dr
A A A A A A R R F A A 0 B A dr
A A A A A A O O F A A 0 B A dr
A B B A A A R M F A A 0 B A dr
C C D B B B R C F A A 0 B A dr
C C C B B B J XXX F A A 0 B A dr
