F D E C C D P R F E 0 NA E D dr
C C C C C C L G F E 0 NA C D dr
B B B A A B L N F E 0 NA C C dr
A A B A A A G L F E 0 NA B B dr
A A B A A A N P F E 0 NA B B dr
A A B A A A R N F E 0 NA B B dr
A B B A A A J N F E 0 NA B B dr
B B B A A B R J F E 0 NA B B dr
B B B A A B F N F E 0 NA B B dr
A A B A A A G N F E 0 NA B B dr
A A B A A A J N F E 0 NA A A dr
A A A A A A M L F E 0 NA A A dr
A A B A A A I F F E 0 NA A A dr
A A B A A A M L F E 0 NA A A dr
A A B A A A D M F E 0 NA A A dr
A A B A A A I H F E 0 NA A A dr
A A B A A A K L F E 0 NA A A dr
B B C A B B P E F E 0 NA A A dr
C C D B C C J M F E 0 NA A A dr
A B B A A A P N F E 0 NA A A dr
A A B A A A D N F E 0 NA A A dr
A B B A A A K J F E 0 NA A A dr
A B B A A A J M F E 0 NA A A dr
A B B A A A D L F E 0 NA A A dr
A B B A A A L J F E 0 NA A A dr
A B B A A A I K F E 0 NA A A dr
A B B A A A K L F E 0 NA A A dr
B B D A B B R G F E 0 NA A A dr
B B C A B B F J F E 0 NA A A dr
A B B A A A L K F E 0 NA A A dr
B B C A B B F L F E 0 NA A A dr
C C E B C C P F F E 0 NA A A dr
A A B A A A C O F E 0 NA A A dr
A A A A A A J N F E 0 NA A A dr
A A A A A A C N F E 0 NA A A dr
A A A A A A E P F E 0 NA A A dr
A A A A A A L H F E 0 NA A A dr
A A A A A A Q J F E 0 NA A A dr
A A A A A A K N F E 0 NA A A dr
A A A A A A P K F E 0 NA A A dr
A A A A A A I K F E 0 NA A A dr
A A A A A A J L F E 0 NA A A dr
A A A A A A P N F E 0 NA A A dr
A A A A A A L N F E 0 NA A A dr
A A A A A A Q Q F E 0 NA A A dr
A A A A A A L N F E 0 NA A A dr
A A A A A A O L F E 0 NA A A dr
A A A A A A K C F E 0 NA A A dr
A A A A A A L I F E 0 NA A A dr
A A A A A A M K F E 0 NA A A dr
A A A A A A L L F E 0 NA A A dr
A A A A A A L I F E 0 NA A A dr
A A A A A A J G F E 0 NA A A dr
A A A A A A P H F E 0 NA A A dr
A A A A A A O L F E 0 NA A A dr
A A A A A A N N F E 0 NA A A dr
A A A A A A L K F E 0 NA A A dr
A A A A A A L P F E 0 NA A A dr
A A A A A A P L F E 0 NA A A dr
A A A A A A N J F E 0 NA A A dr
A A A A A A K E F E 0 NA A A dr
A A A A A A P J F E 0 NA A A dr
A A A A A A M P F E 0 NA A A dr
A A A A A A M M F E 0 NA A A dr
A A A A A A M M F E 0 NA A A dr
A A A A A A O I F E 0 NA A A dr
A A A A A A O P F E 0 NA A A dr
A A A A A A G J F E 0 NA A A dr
A A A A A A J M F E 0 NA A A dr
A A A A A A M G F E 0 NA A A dr
A A A A A A M D F E 0 NA A A dr
A A A A A A L C F E 0 NA A A dr
