D D D C D E N R F XXX NA NA D C dr
B B C A B B M O F XXX NA NA C B dr
B C C A B C I K T A A 0 C B dr
A B B A A A K XXX F A A 0 C B dr
C C D A B D R F F A A 0 C B dr
A A B A A A P P F A A 0 B B dr
C C E B B B N M T A A 0 C B dr
A A B A A A Q R F A A 0 B B dr
A A B A A A P O F A A 0 B B dr
C C E A B B R N T A A 0 B B dr
A B B A A A P Q F A A 0 B B dr
B B B A A B K O F A A 0 B B dr
A A B A A A Q P F A A 0 B B dr
A A B A A A R Q F A A 0 B B dr
A A B A A A R R F A A 0 B B dr
E B E A A B R J F A A 0 B B dr
B B C B B B O L F A A 0 B B dr
B B C A A B L J F A A 0 B B dr
C C C B B C O M T A A 0 B B dr
