E E D C D E O R F B 0 NA D D dr
B C C C C B N N F B 0 NA C C dr
C C C B B B M O F B 0 NA C B dr
D D D C D D Q M F B 0 NA C C dr
D D C D D D P Q F B 0 NA C C dr
B B C B B B F J F B 0 NA C C dr
A B B A A A K J F B 0 NA C B dr
B B B A A A J J F B 0 NA C B dr
A B B A A A F J F B 0 NA C B dr
B B C A A B L C F B 0 NA C B dr
D D C C C C C L T B A A C B dr
B B D A A B R A F B A A C B dr
B B C A B B O G F B A A C B dr
B B B A A B R G F B A A C B dr
C C C B C B M M F B A A C B dr
E D E C C D O H F B B A C B dr
B B C B B B P P F B B A C B dr
B B C B B B G J F B B A C B dr
A B B A A A M P F B B A C B dr
A A B A A A M H F B B A B B dr
B B B A B B J C F B B A B B dr
C C C C C B N K F B B A B B dr
B B B A B B N N F B B A B B dr
B B C A B B R J F B B A B B dr
D D D C C D M O F B B A B B dr
A B B A A A K N F B B A B B dr
A B B A A A J G F B B A B B dr
A A B A A A C G F B B A B B dr
A A B A A A C F F B B A B B dr
A A B A A A O L F B B A B B dr
A A B A A A K K F B B A B B dr
A A B A A A N N F B B A B B dr
E B E A A B R C F B B A B B dr
B B C B B B N R F B B A B B dr
B B C B B B K G F B B A B B dr
E C E B B B D N F B B A B B dr
A A B A A A H N F B B A B B dr
A A B A A A N P F B B A B B dr
A A B A A A O I F B B A B B dr
A A B A A A K G F B B A B B dr
A A B A A A K K F B B A B B dr
A A B A A A P P F B B A B B dr
A A B A A A F P F B B A B B dr
A A B A A A P E F B B A B B dr
B B C B B B K K F B B A B B dr
A B B A A A K P F B B A B B dr
A A B A A A K R F B B A B B dr
A A B A A A J N F B B A B B dr
A A B A A A H P F B B A B B dr
A A B A A A K K F B B A B B dr
A A B A A A D F F B B A B B dr
A A B A A A O M F B B A B B dr
A A B A A A H K F B B A B B dr
A B B A A A R D F B B A B B dr
B B B A A B I R F B B A B B dr
A A B A A A L N F B B A B B dr
A A B A A A K L F B B A B B dr
B B C A B B R D F B B A B B dr
B B C B B B J O F B B A B B dr
D C E B B B R J T B B A B B dr
B B C B B B I M F B B A B B dr
B B C B B B P L F B B A B B dr
B B C B B B N J F B B A B B dr
B C C B B B M O F B B A B B dr
C D C C D C R M F B B A B B dr
