C C E B B B J Q F XXX NA NA C D dr
A B B A A A N R F XXX NA NA B C dr
A A B A A A K G F XXX NA NA B B dr
A A B A A A R R F XXX NA NA B B dr
B B B A A B O H F XXX NA NA B B dr
B C C B C B D H F XXX NA NA B B dr
B B C B B B M P F XXX NA NA B B dr
B B C B B B F I F XXX NA NA B B dr
B B C B B B G M F XXX NA NA B B dr
B B C B B B O O F XXX NA NA B B dr
A B B A A A L L F XXX NA NA B B dr
B B C A A B P J F XXX NA NA B B dr
C C D C C C P P F XXX NA NA B B dr
B B C B B B M P F XXX NA NA B B dr
B B B A B B O O F XXX NA NA B B dr
A B B A A A G O F XXX NA NA B B dr
A B B A A A P O F XXX NA NA B B dr
A B B A A A J I F XXX NA NA B B dr
B B B A A A P G F XXX NA NA B B dr
B C C B B B J G F XXX NA NA B B dr
