D D C D D D Q Q F XXX NA NA D C dr
B B C B B B M R F XXX NA NA C B dr
B C C B B B P J F XXX NA NA C B dr
C B E A A B B B T B 0 NA C D dr
B B C B B B O J F B 0 NA C C dr
B B B A A B K O F B 0 NA C C dr
A B B A A A N O F B 0 NA B B dr
B B B A A B O K F B 0 NA B B dr
C C D B C C P J F B 0 NA B B dr
B B B A B B M XXX F B 0 NA B B dr
A A B A A A I I F B 0 NA B B dr
A A B A A A J H F B 0 NA B B dr
B B C A A B J B F B 0 NA B B dr
C C C C C C R N F B 0 NA B B dr
B B C B B B C L F B 0 NA B B dr
A B B A A A L R F B 0 NA B B dr
A A B A A A O M F B 0 NA B B dr
A A B A A A M M F B 0 NA B B dr
A A B A A A M R F B 0 NA B B dr
A A B A A A J G F B 0 NA B B dr
A A B A A A P O F B 0 NA B B dr
A A B A A A M I F B 0 NA B B dr
A A B A A A G C F B 0 NA B B dr
A B B A A A N C F B 0 NA B B dr
F C E B C C O I F B 0 NA B B dr
A B B A A A A B F B 0 NA B B dr
A A B A A A N K F B 0 NA B B dr
A A B A A A K I F B 0 NA B B dr
A A B A A A G K F B 0 NA A B dr
A A B A A A R N F B 0 NA A B dr
A A B A A A N J F B 0 NA A B dr
B B B A A B R F F B 0 NA A B dr
B B C B B B L J F B 0 NA A B dr
B B C B B B O M F B 0 NA A B dr
B B C B B B M P F B 0 NA B B dr
A B B A A A M M F B 0 NA B B dr
B C C B B B F N F B 0 NA B B dr
B C B B B B R N F B 0 NA B B dr
