B B C A B B G C F XXX NA NA C B wk
F F D E E F Q N F XXX NA NA C C wk
E F C E E E O Q F XXX NA NA C C wk
E E C C D E L J F A A 0 C C wk
D D C D D D L N F A A 0 C C wk
E E C E E E P N F A A 0 D C wk
D E C D D D O P F A A 0 D C wk
E E C E E E Q P F A A 0 D C wk
E E C E E E Q P F A A 0 D C wk
E E C E E E P Q F A A 0 D C wk
E E C D D E N N F A A 0 D C wk
E E C D E E P P F A A 0 D C wk
E E C E E E N P F A A 0 D C wk
E E C E E E N P F A A 0 D C wk
D D C D D D P O F A A 0 D C wk
D E C D D E N N F A A 0 D C wk
E E C D D E O N F A A 0 D C wk
E E C E E E P P F A A 0 D C wk
E E D C D E G J F A A 0 D C wk
E E C D D E N N F A A 0 D C wk
D E C D D D O L F A A 0 D C wk
E E D D E E J L F A A 0 D C wk
E E C D D D N L F A A 0 D C wk
E E C D E E P L F A A 0 D C wk
E E D D D E N M F A A 0 D C wk
E E C D D E O K F A A 0 D C wk
D D D C D D G L F A A 0 D C wk
D D C C D D F I T A A B D C wk
D E C D D E K J F A A B D C wk
E E C D E E O O F A A B D C wk
D D C D D E N N F A A B D C wk
D D C C D D L F F A A B D C wk
D E C D E E P P F A A B D C wk
E E C E E E Q O F A A B D C wk
