C B E A A A R A T XXX NA NA C D wk
D E C D D D R XXX F XXX NA NA C D wk
D D C D D D P R F XXX NA NA C D wk
E E C E E E R Q F XXX NA NA C D wk
E E C E E D R R F XXX NA NA C D wk
C D C D D C Q P F XXX NA NA C D wk
E E C E E E R XXX F XXX NA NA C D wk
C D C C D D R N F XXX NA NA C C wk
E F C E E E R R F XXX NA NA D C wk
E E C E E E R R F XXX NA NA D C wk
D E C D E D R XXX F XXX NA NA D C wk
D D C D D D R R F XXX NA NA D C wk
E E C E E E R R F XXX NA NA D C wk
D E C E E D R XXX F XXX NA NA D C wk
D E C D E D Q Q F XXX NA NA D C wk
E E C E E E R R F XXX NA NA D C wk
D E C D D D R XXX F XXX NA NA D C wk
E E C E E E R XXX F XXX NA NA D C wk
E E C E E E R R F A A 0 D C wk
E E C E E E Q XXX F A A 0 D C wk
D D C D D D R XXX F A A 0 D C wk
D E C D D D R P F A A 0 D C wk
F F C E E F R XXX F A A 0 D C wk
