E E D D D D J G F B 0 NA E D wk
E E C C D E C F F A A 0 D C wk
E E C D D E N L F A A 0 D C wk
E E C D D E J N F A A A D C wk
E E C D D E J J F A A A D C wk
E E C D D E N J F A A A D C wk
E E C D D E N N F A A A D C wk
E E D D D E N K F A A A D C wk
E E C D D E J J F A A A D C wk
E E C D D E J N F A A A D C wk
E E D D D E M M F A A A D C wk
D E C D D D N N F A A A D C wk
E E C D D E O N F A A A D C wk
E E C E E E O O F A A A D C wk
E E C E E E P R F A A A D C wk
D D C D D E K M F A A A D C wk
D D C D D D L I F A A A D C wk
E E C D E E M N F A A A D C wk
E E C D E E N P F A A A D C wk
E E C E E E P O F A A A D C wk
E E C D D E K N F A A A D C wk
E E C D E E N M F A A A D C wk
E E C D D E K G F A A A D C wk
D E C D D E N N F A A A D C wk
E E C E E E P P F A A A D C wk
E E C E E E N P F A A A D C wk
E E C D E E O M F A A A D C wk
D D C A C E A A F A A A D C wk
E E C D E E M M F A A A D C wk
E E C E E E P N F A A A D C wk
D D C D D E M K F A A A D C wk
D D C D D E I K F A A A D C wk
E E C D D E N K F A A A D C wk
D D C D D E N O F A A A D C wk
D E C D D D N L F A A A D C wk
F F C E E F R R F A A A D C wk
