D B E A B E R A F XXX NA NA D D wk
D E C D E D R Q F XXX NA NA D D wk
D E C E E D Q R F XXX NA NA D D wk
D D C D D D R O F XXX NA NA D D wk
E E C E E E R R F XXX NA NA D D wk
D D C D D D Q P F XXX NA NA D D wk
E E C E E E R R F XXX NA NA D C wk
D D C C D D R N F XXX NA NA D C wk
E E C E E E R XXX F XXX NA NA D C wk
E E C E E E R R F XXX NA NA D C wk
F E D D E E R P F XXX NA NA D C wk
D D C D D D R R F XXX NA NA D C wk
E E C E E E R XXX F XXX NA NA D C wk
D E C E E E R R F XXX NA NA D C wk
D E C D E D Q Q F XXX NA NA D C wk
E E C E E E R R F XXX NA NA D C wk
E E C E E E R XXX F XXX NA NA D C wk
E E C E E E R R F XXX NA NA D C wk
D E C D E D R Q F XXX NA NA D C wk
D E C D D D Q XXX F XXX NA NA D C wk
E E C E E E R R F XXX NA NA D C wk
E F C E E E R XXX F XXX NA NA D C wk
E E C E E E Q Q F A A 0 D C wk
E E D D D D R P F A A 0 D C wk
E E C D E E R P F A A 0 D C wk
E E C D E E Q XXX F A A 0 D C wk
