D C E A B E R A F XXX NA NA D D wk
D D C D D D P R F XXX NA NA D D wk
E E C D E D R Q F XXX NA NA D D wk
D D C D D D Q P F XXX NA NA D D wk
D D C C D D R N F XXX NA NA D D wk
F E D D E E R P F XXX NA NA D D wk
D D C D D D R R F XXX NA NA D D wk
D D C D D D Q Q F XXX NA NA D D wk
E E C E E E R R F XXX NA NA D D wk
E E C E E E R R F XXX NA NA D C wk
E E C D E E Q O F A A 0 D C wk
E E C E E E R R F A A 0 D C wk
E E C E E E R R F A A 0 D C wk
E E D E E E R Q F A A 0 D C wk
E E D D D D R P F B A 0 D C wk
E E C D E E P P F B A 0 D C wk
