_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
6.2459939014591885	13.648410165342233 	-7.402416263883044	95.17578738860448	37.36326170523198	5.43592480406462	0.5952123187734785	-92.79004107162366	0	46	79.80992207420074	0	1.1	1.1	6.2459939014591885	-7.402416263883044		wk
8.16785461627958	7.772516324467455 	0.3953382918121253	14.990336043048549	12.808707355562818	7.416381199714943	2.549314886649701	-3.020087221641169	0	30	68.06545513566317	0	1.1	1.1	7.2069242588693845	-3.5035389860354593		wk
6.554253222185882	6.3056078264485835 	0.2486453957372987	12.998519090016575	10.753565134247841	6.362467137039631	1.5633206414017498	-2.2120173176589817	0	33	60.08065453670392	0	1.1	1.1	6.98936724664155	-2.2528108587778735		wk
5.988914273642507	6.002217355000585 	-0.013303081358078117	20.896598519888233	11.301623846789795	4.94175609569225	5.318280808065327	-4.7974870502144435	0	36	59.88914273642507	0	1.1	1.1	6.73925400339179	-1.6929339144229245		wk
2.5750453286840966	6.445929787444359 	-3.8708844587602624	11.195292983429134	10.122157317836937	8.345957864014906	0.8052907309209397	-2.6645489630114	0	87	62.23026210986567	60	0	1.1	5.906412268450252	-2.128524023290392		wk
6.211310607460283	5.969050922513329 	0.24225968494695405	9.616449819518683	8.806130719450158	5.964369040989818	1.0374369116689586	-0.7970011791625637	0	40	69.01456230511425	60	0	1.1	5.957228658285256	-1.7333934052508344		wk
4.782805539116788	4.312471179820567 	0.47033435929622147	6.424249281378391	5.795365068345455	4.643836472039563	0.3294486811285314	-0.48352442314245997	0	51	67.7564118041545	60	0	1.1	5.789453926975475	-1.4185751531726838		wk
5.52276895519826	5.321912468941115 	0.20085648625714558	12.848520990898027	9.66150637383942	4.941738842363327	1.391847250319849	-3.6239418178165708	0	39	59.829997014647816	33	0.5	0	5.756118305503323	-1.2161461982439552		wk
3.5864487094130113	3.031910514135213 	0.5545381952777984	6.031531004944658	4.664140621761696	3.005626251831173	0.36442355543658933	-0.3241131603810574	0	63	62.762852414727696	33	0.5	0	5.515043905937733	-1.0194034878526492		wk
3.3318857764355894	5.101975920802196 	-1.7700901443666064	14.694172784180962	10.68667111592247	3.6538647511427036	0.5424923441248772	-2.7607233715424933	0	72	66.63771552871178	19.5	0.25	0	5.296728092987519	-1.0944721535040451		wk
4.515542265738084	4.399870232481492 	0.11567203325659214	12.063062838822063	8.774813987566956	3.9185189648590955	1.1485815316203272	-2.232307913073112	0	27	33.866566993035626	15	0.4	0	5.225711199601206	-0.9844590456167144		wk
