C C C A B C G C T XXX NA NA C C wk
E E C E E E M N F A A 0 C C wk
D D C C D D L J F A A 0 C C wk
E E C D D E O N F A A 0 C C wk
E E C E E E Q P F A A 0 D C wk
E E C E E E P P F A A 0 D C wk
E E C D D E N N F A A 0 D C wk
E E C E E E N P F A A 0 D C wk
E E C D D E N N F A A 0 D C wk
D D C D D E N N F A A 0 D C wk
E E C D D E N N F A A 0 D C wk
E E D C D E G J F A A 0 D C wk
E E C D D E J L F A A 0 D C wk
E E D D D D N L F A A 0 D C wk
E E C D D E J M F A A 0 D C wk
E E D D D E J H F A A 0 D C wk
D D C C D D F I T A A B D C wk
E E C D D E K J F A A B D C wk
D D C C D D L F F A A B D C wk
D D C D D E O P F A A B D C wk
E E C E E E R Q F A A B D C wk
