B B B A B B G C F XXX NA NA B A wk
C C C C D C M I F XXX NA NA B A wk
F F C D E F R N F XXX NA NA C B wk
E E C E E E R XXX F XXX NA NA C B wk
E F C E E E O R F A A 0 C B wk
E F C E E E M XXX F A A 0 C B wk
C D C C D C M J F A A 0 C B wk
D E C D D D L N F A A 0 C B wk
E E C E E E R R F A A 0 C B wk
E E C E E E P N F A A 0 C B wk
E E C E E E P R F A A 0 C B wk
D E C D E D P Q F A A 0 C B wk
D E C E E E Q Q F A A 0 C B wk
E E C E E E Q XXX F A A 0 C B wk
E E C E E E R R F A A 0 C B wk
E E C E E E R P F A A 0 D B wk
E E C E E E P R F A A 0 D B wk
E E C E E E R R F A A 0 D B wk
D E C D E D P N F A A 0 D B wk
E E C E E E N N F A A 0 D B wk
E E C E E E P P F A A 0 D B wk
E E C E E E R P F A A 0 D B wk
E E C E E D N P F A A 0 D B wk
E E C E E E P XXX F A A 0 D B wk
E E C E E E N P F A A 0 D B wk
D E C E E E Q R F A A 0 D B wk
D D C D D D P O F A A 0 D B wk
D E C E E E R Q F A A 0 D B wk
D E C D E D Q N F A A 0 D B wk
E E C E E E R R F A A 0 D B wk
D E C D E E O N F A A 0 D B wk
E E C E E D N N F A A 0 D B wk
E E C E E E P R F A A 0 D B wk
E F C E E E R R F A A 0 D B wk
D D C C D D G J F A A 0 D B wk
D E C D E D N N F A A 0 D B wk
E E C E E E Q Q F A A 0 D B wk
D E C D D D P L F A A 0 D B wk
D E C D D D R N F A A 0 D B wk
E E D D D D Q L F A A 0 D B wk
D E C D E D N O F A A 0 D B wk
E E C D E E Q L F A A 0 D B wk
E E C D E E R N F A A 0 D B wk
E E C D E E O O F A A 0 D B wk
E E C D D D J M F A A 0 D B wk
E E C D E E R N F A A 0 D B wk
E E C D E E J H F A A 0 D B wk
E E C D E E M M F A A 0 D B wk
E E C D E E F J F A A B D B wk
D E C D E D J XXX F A A B D B wk
D D C D D D L L F A A B D B wk
D E C D E E K J F A A B D B wk
E E C D E D O N F A A B D B wk
E E C E E E R P F A A B D B wk
D E C D E E N N F A A B D B wk
D D C D D D P O F A A B D B wk
C D C C D C L F F A A B D B wk
D D C D D D O Q F A A B D B wk
D E C D E D Q R F A A B D B wk
E E C E E E P R F A A B D B wk
E E C E E E R Q F A A B D B wk
