B B C A B B G C F XXX NA NA B B wk
D D C D D D R N T XXX NA NA C B wk
E E D E E E Q R F A A 0 C B wk
E F C E E F O N F A A 0 C B wk
D D C C D D L J F A A 0 C B wk
D D C D D D L N F A A 0 C B wk
E E C E E E P P F A A 0 C B wk
E E C D E E O R F A A 0 C B wk
D D C D E D P Q F A A 0 C B wk
E E C E E E Q P F A A 0 C B wk
E E C E E E Q Q F A A 0 C B wk
E E C E E E P P F A A 0 D B wk
D E C E E E Q Q F A A 0 D B wk
E E C E E E P P F A A 0 D B wk
E E C E E E P P F A A 0 D C wk
E E C E E E P P F A A 0 D C wk
E E C E E E N P F A A 0 D C wk
E E C E E E N P F A A 0 D C wk
E E C E E E N N F A A 0 D C wk
D D C D D D R P F A A 0 D C wk
D D C D D D Q N F A A 0 D C wk
D E C D E E O P F A A 0 D C wk
D E C E E D N N F A A 0 D C wk
E E C E E E P Q F A A 0 D C wk
D E C C D E G J F A A 0 D C wk
D E C D D D N N F A A 0 D C wk
D E C D D E O L F A A 0 D C wk
E E C D D E J N F A A 0 D C wk
E E D D D D N L F A A 0 D C wk
E E D D E D Q L F A A 0 D C wk
E E C D E E N N F A A 0 D C wk
E E C D E E N M F A A 0 D C wk
E E C D E E O N F A A 0 D C wk
E E D D D D J H F A A 0 D C wk
D D C C D D F C T A A 0 D C wk
D D C C D D J I T A A B D C wk
D E C D D E K O F A A B D C wk
E E C D E E O N F A A B D C wk
E E C E E E N P F A A B D C wk
D D C D D D O O F A A B D C wk
D D C C D D L F F A A B D C wk
D E C D E D Q Q F A A B D C wk
E E C E E E P O F A A B D C wk
E E C E E E R XXX F A A B D C wk
